id,name,duration,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability
4ZtFanR9U6ndgddUvNcjcG,Good 4 U Olivia Rodrigo,2.97,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,0.563
5fxyZf6m2xHeSrOzUfcJrq,Stay The Kid LAROI & Justin Bieber,2.3,0.506,8,-11.275,1,0.0589,0.379,0.868,0.11,0.454,170.054,0.564
5nujrmhLynf4yMoMtj8AQF,Levitating Dua Lipa feat. DaBaby,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
4iJyoBOLtHqaGxP12qzhQI,Peaches Justin Bieber feat. Daniel Caesar & Giveon,3.3,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,0.677
1SC5rEoYDGUK4NfG82494W,Montero (Call Me By Your Name) Lil Nas X,2.3,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,0.593
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA) Doja Cat,3.48,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,0.764
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open Silk Sonic (Bruno Mars & Anderson .Paak),4.03,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,0.586
5wANPM4fQCJwkGd4rN57mH,drivers license Olivia Rodrigo,4.03,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,0.561
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights The Weeknd,3.33,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0.514
6HU7h9RYOaPRFeh0R3UeAr,Deja Vu Olivia Rodrigo,3.59,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,0.442
6f3Slt0GbA2bPZlz0aIFXN,The Business Tiësto,2.73,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,0.798
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean Masked Wolf,2.21,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,0.778
18vXApRmJSgQ6wG2ll9AOg,Rapstar Polo G,2.77,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,0.789
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion) Maroon 5,3.79,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,0.713
27tDoZsybt3KvJWTDoW9id,Heartbreak Anniversary Giveon,3.31,0.459,0,-8.955,1,0.074,0.546,1.05e-06,0.307,0.565,87.064,0.443
02MWAaffLxlfxAUY7c5dvx,Heat Waves Glass Animals,3.98,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0.761
7mmYQV0o7sW0pM8rNd3mLG,Without You (with Miley Cyrus) The Kid LAROI & Miley Cyrus,2.71,0.42,0,-7.98,1,0.0334,0.834,0.927,0.264,0.603,90.995,0.569
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior) 24kGoldn,2.34,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,0.701
7tZHEwEYKcI3kJLi9RQJL3,"Fiel Los Legendarios, Wisin & Jhay Cortez",4.27,0.43,6,-7.477,0,0.0255,0.735,0.941,0.124,0.3,97.976,0.685
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar Harry Styles,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
1Xi84slp6FryDSCbzq4UCD,Arcade Duncan Laurence,3.06,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,0.45
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay) Pop Smoke,3.56,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,0.48
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby) Dua Lipa,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
4fSIb4hdOQ151TILNsSEaF,Todo De Ti Rauw Alejandro,3.33,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,0.78
3Wrjm47oTz2sjIgck11l5e,Beggin' Måneskin,3.53,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,0.714
7e1VoRlNumuEkXlITMHKLE,"Me Gusta Anitta, Cardi B & Myke Towers",3.01,0.604,6,-4.392,0,0.082,0.448,0.0,0.0863,0.807,110.075,0.91
2VS1VIq1t7zTVKKc0YV0fo,Famous Friends Chris Young + Kane Brown,2.74,0.513,6,-8.619,1,0.0311,0.101,1.66e-06,0.131,0.685,102.04,0.717
6IBcOGPsniK3Pso1wHIhew,Forever After All Luke Combs,3.88,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,0.487
2P2kJEIAXutA2J7DXW1Wux,LA CANCIÓN J Balvin & Bad Bunny,4.04,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,0.756
7qEHsqek33rTcFNT9PFqLf,Someone You Loved Lewis Capaldi,3.04,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,0.501
3Vi5XqYrmQgOYBajMWSvCi,Need To Know Doja Cat,3.51,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,0.664
4eAtgAE8EJ8tBQsAnZEonX,Blinding Lights - 2019 The Weeknd,3.31,0.517,5,-11.58,0,0.0405,0.0015,2.33e-05,0.118,0.438,171.012,0.609
5nujrmhLynf4yMoMtj8AQF,Levitating Dua Lipa,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
50nfwKoDiSYg8zOCREWAm5,Shivers Ed Sheeran,3.46,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,0.788
7cYNQkJoyHVhP8Drb2n6d5,Don't Start Now Dua Lipa,4.45,0.588,4,-12.406,0,0.0569,0.00168,0.00814,0.0809,0.673,114.988,0.726
3fx31TjnwvwZIyAGHhOhA1,Forever NLE Choppa,3.38,0.726,5,-4.856,0,0.129,0.382,0.0,0.0691,0.555,90.107,0.602
0MvxgmXHMXh70GpnR0mKkT,Tusa KAROL G & Nicki Minaj,3.37,0.701,2,-3.275,1,0.283,0.308,7.82e-05,0.0516,0.619,100.954,0.796
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance BTS,3.13,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,0.702
58w68w4s8h9gw3xrDaXyuj,At My Worst (feat. Kehlani) Pink Sweat$,2.82,0.484,0,-5.579,1,0.0354,0.73,3.01e-06,0.326,0.35,92.043,0.731
2JPLbjOn0wPCngEot2STUS,Yonaguni Bad Bunny,3.45,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,0.644
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open Silk Sonic,4.03,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,0.586
54bFM56PmE4YLRnqpW6Tha,Therefore I Am Billie Eilish,2.91,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,0.889
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK) Joel Corry,2.77,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,0.734
1ZMiCix7XSAbfAJlEZWMCp,Falling Harry Styles,4.0,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,0.567
161DnLWsx1i3u1JT05lzqU,Talking to the Moon Bruno Mars,3.63,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,0.498
6tDDoYIxWvMLTdKpjFkc1B,telepatía Kali Uchis,2.67,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,0.653
2MOoIbJWIYikwIXjBDe26i,París in the Rain Lauv,3.41,0.408,3,-9.419,1,0.053,0.771,7.88e-06,0.394,0.525,79.705,0.406
7BJecfRrRlAay7KGcyz2lq,Cover Me In Sunshine P!nk & Willow Sage Hart,2.37,0.488,5,-11.276,1,0.0568,0.0142,0.9,0.156,0.107,160.013,0.543
4nDYmWpBz8OGFKbXSCkX4i,Save Your Tears The Weeknd,3.59,0.816,0,-5.496,1,0.0308,0.0216,2.05e-05,0.439,0.619,118.065,0.685
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch) Pop Smoke,3.36,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,0.49
1zvk4QIyIcb7uI6BK5TkQ9,My Universe Coldplay x BTS,0.73,0.379,1,-7.135,0,0.0461,0.941,0.456,0.226,0.967,153.92,0.411
2KePp7PaiC1SKwKYzEScla,You Right Doja Cat & The Weeknd,2.95,0.36,6,-11.212,1,0.0279,0.918,0.877,0.165,0.756,99.956,0.699
3U4isOIWM3VvDubwSI3y7a,All of Me John Legend,4.49,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,0.422
45bE4HXI0AwGZXfZtMp8JR,You Broke Me First Tate McRae,2.82,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,0.667
7qiZfU4dY1lWllzX7mPBI3,Shape of You Ed Sheeran,3.9,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,0.825
6V1bu6o1Yo5ZXnsCJU8Ovk,Girls Like You (feat. Cardi B) Maroon 5,3.93,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,0.851
6rZk29Yz8ObEwtJOIaACt5,DÁKITI Bad Bunny & Jhay Cortez,3.22,0.186,4,-6.421,0,0.0352,0.00462,0.403,0.154,0.211,109.201,0.373
78Nyf6RlqBANlMhSnKyClT,Pretend CNCO,3.34,0.883,11,-3.862,0,0.103,0.284,0.0,0.14,0.834,101.983,0.68
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out twenty one pilots,3.37,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,0.734
54bFM56PmE4YLRnqpW6Tha,Therefore I Am Billie Eilish,2.91,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,0.889
0elmUoU7eMPwZX1Mw1MnQo,The Way You Look Tonight Frank Sinatra,3.37,0.24,5,-14.067,0,0.0363,0.798,0.0,0.142,0.587,132.234,0.622
072Hl1zCG3UMxc7JBeQk7r,Happier Marshmello & Bastille,4.01,0.778,0,-4.723,0,0.0384,0.179,1.36e-06,0.227,0.493,89.116,0.57
6cHOsanMHAZ8JXNtYipIcA,We're Good Dua Lipa,2.77,0.59,6,-4.326,1,0.0483,0.118,0.0,0.143,0.691,133.97,0.704
4xqrdfXkTW4T0RauPLv3WA,Heather Conan Gray,3.3,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,0.357
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars) Mark Ronson,4.49,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,0.856
3FGU19VhodS1rtCnVfHR8l,Señorita Shawn Mendes & Camila Cabello,3.18,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,0.759
2gMXnyrvIjhVBUZwvLZDMP,Before You Go Lewis Capaldi,3.59,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,0.459
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey Tones And I,3.49,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,0.824
2VxeLyX666F8uXCJ0dZF8B,Shallow Lady Gaga & Bradley Cooper,3.6,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,0.572
4cktbXiXOapiLBMprHFErI,Memories Maroon 5,3.16,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,0.775
6A53tLi9vpLhmgaEvzRyip,Heat Waves - Diplo Remix Glass Animals,2.36,0.565,11,-7.187,1,0.338,0.116,0.0,0.428,0.403,137.075,0.568
5eFfsbjSouG8qOpg9ZqDl6,Downtown's Dead Sam Hunt,3.57,0.696,11,-6.006,1,0.0469,0.109,0.0,0.132,0.392,82.001,0.624
1CS7Sd1u5tWkstBhpssyjP,Take Me To Church Hozier,4.03,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,0.566
2V2lFQQQR3iqSUG5jwDQd9,Hold On Justin Bieber,2.85,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,0.658
21jGcNKet2qwijlDFuPiPb,Circles Post Malone,3.59,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,0.695
1x6YtYuLHlvFaVOLsSLbWN,Talking to the Moon Acoustic Bruno Mars,3.63,0.333,1,-6.423,0,0.031,0.867,0.0,0.107,0.208,99.511,0.352
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar Harry Styles,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
5enxwA8aAbwZbf5qCHORXi,All Too Well Taylor Swift,10.22,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,0.631
0RtMRbaqeadQFvlYxcAczv,Somebody That I Used To Know Gotye feat. Kimbra,4.56,0.642,0,-6.19,1,0.0412,0.00028,0.0225,0.0341,0.376,128.992,0.646
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM Travis Scott,2.93,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,0.598
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage) Post Malone,3.64,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,0.585
07g8LrnpOgV1BJg4ezJ5gf,Don't Stop Believin' Journey,4.27,0.157,5,-12.938,1,0.0436,0.581,0.393,0.109,0.666,117.128,0.663
45S5WTQEGOB1VHr1Q4FuPl,Golden Harry Styles,3.48,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,0.448
0tBbt8CrmxbjRP0pueQkyU,Wolves Selena Gomez & Marshmello,3.3,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,0.724
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA) Doja Cat,3.48,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,0.764
7cYNQkJoyHVhP8Drb2n6d5,Don't Start Now Dua Lipa,4.45,0.588,4,-12.406,0,0.0569,0.00168,0.00814,0.0809,0.673,114.988,0.726
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy) MEDUZA,2.8,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,0.632
3AzjcOeAmA57TIOr9zF1ZW,Physical Dua Lipa,3.23,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,0.647
2H1047e0oMSj10dgp7p2VG,I Gotta Feeling Black Eyed Peas,4.82,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,0.744
2V2lFQQQR3iqSUG5jwDQd9,Hold On Justin Bieber,2.85,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,0.658
0pqnGHJpmpxLKifKRmU6WP,Believer Imagine Dragons,3.41,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,0.776
5wANPM4fQCJwkGd4rN57mH,drivers license Olivia Rodrigo,4.03,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,0.561
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior) 24kGoldn,2.34,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,0.701
2JPLbjOn0wPCngEot2STUS,Yonaguni Bad Bunny,3.45,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,0.644
7oD0hfEoijJtSXj7fblDor,Levitating - The Blessed Madonna Remix Dua Lipa,4.06,0.457,11,-11.026,1,0.0767,0.0919,0.85,0.0789,0.566,116.001,0.736
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon) Justin Bieber,3.3,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,0.677
1FSWSs9CL01RCYxXtm08Rf,Dance With Me Tonight Olly Murs,3.37,0.748,11,-5.922,0,0.0589,0.305,0.0,0.0811,0.964,163.984,0.672
54bFM56PmE4YLRnqpW6Tha,Therefore I Am Billie Eilish,2.91,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,0.889
5jsw9uXEGuKyJzs0boZ1bT,Stitches Shawn Mendes,3.45,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,0.752
1SC5rEoYDGUK4NfG82494W,Montero (Call Me By Your Name) Lil Nas X,2.3,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,0.593
